UniqueID ,Customer problems,Customer comments after the ticket is closed
250603.0016199,"Chiều nay tôi tt XanhSM nhưng không thành công cho lượt về , xin kt và xử lí giúp ạ , để tôi còn thực hiện giao dịch khách , cám ơn ","Mong muốn của tôi là tại sao không thanh toán qua MoMo như lần kề đó , ( tt thất bại ) và tiền chưa bị trừ mà bị từ chối nên không có việc giàn lại , 
 Có vẻ  cskh là tự động ? "
250603.0015519,"Tôi có sử dụng ứng dụng Sendo và liên kết với Momo để thanh toán nhưng bị lỗi không thể thanh toán, mã giao dịch là: 89548646681, vui lòng xem lại và hoàn tiền lại cho tôi. Xin cảm ơn!",Ok
250603.0014043,"Giao dịch không thành công nhưng vẫn bị trừ tiền
","Vẫn chưa giải quyết được, tiền vẫn chưa được hoàn vào tài khoản "
250603.0017926,"Vẫn chưa nhận dc tiền 
",Vẫn chưa nhận dc
250603.0020168,"Thanh toán thành công, nhưng chưa nhận được sản phẩm",Vấn đề của mình vẫn đang chờ đợi. Chưa hoàn nguồn tiền mua sản phẩm bị lỗi.
250603.0016623,Tôi mua 2 vé xem phim với ưu đãi 65k / vé. Khi thanh toán hiện ra 130k ngưng ấn tiếp tục lại phải thanh toán với số tièn 220k,"Liên hệ bên lotte thì báo liên hệ momo. Giờ momo trả lời liên hệ lotte. Chịu luôn
"
250603.0002166,Ko nhận được sản phẩm trong game,"Vẫn chưa được hoàn trả
"
250603.0002772,"Nội dung KH: Tôi đã thanh toán nhưng vẫn chưa nhận được mã thẻ
 Ticket trước: 250602.0011427
 Nội dung re-open: Chưa nhận được mã thẻ",Xử lý quá lâu và tôi vẫn chưa nhận được mã thẻ tôi đã thanh toán
250603.0017338,"Sao nạp thành công ở momo . Ở trong Game cần nạp ko nhận dc nhỉ 
",Vẫn chưa được giải quyết 
250603.0015647,"Tôi đã bị mất tiền trong ví momo , số tiền còn lại trong ví là không hợp lý 
",Giải quyết chưa đúng vấn đề tôi muốn 
250603.0007649,"Nội dung KH: W2B - AS - Chuyển tiền tới ngân hàng - Giao dịch đang chờ xử lý
 Ticket trước: 250529.0000307
 Nội dung re-open: chưa đc giải quyết",cái đm bọn bịp
250603.0001143,Tui muốn thu hồi là giao dịch này,Tui vẫn chx nhận lại dc số tiền tui cần thu hồi
250603.0009542,"Thanh toán không thành công mà bị trừ tiền , bên texax chicken cũng không nhận được tiền","Tôi cần tiền hoàn vào ví tôi , sao lại để tiền trừ vào texas vào sáng hôm sau . Tôi không mua đc hàng mà còn bị trừ tiền"
250603.0010144,89538010219 chưa nhận đc tiền hoàn ,Ok
250603.0015039,chuyển khoản lỗi ,chưa giải quyết
250603.0017681,kh thành công mà vẫn trừ tiền là sao ạ?,"
"
250603.0008072,Thanh toán ko thanh cong bi trừ tiền ,Tốt 👍👌
250603.0013736,Giao dịch thất bại nhưng vẫn trừ tiền,2 phiếu từ đang xử lí chuyển thành thất bại nhưng mình vẫn chưa nhận đc tiền hoàn
250603.0008728,Cửa hàng không nhận được tiền nhưng tài khoảng của tôi vẫn bị trừ tiênd,"Chưa xử lý xong, tôi chưa nhận được hoàn tiền"
250603.0016163,"Nội dung KH: Tôi mua hành tại coopmak nguyễn ảnh thủ, thanh toán 380,800 hai lần, Tổng cộng:  769,600 đồng. MoMO đã trừ tiền ví trả sau của tôi, nhưng giao dịch thì thất bại. Mong momo hoàn tiền trả trở lại ví mo mo/ ví trả sau cho tôi. tôi xin chân thành cảm ơn!
 Hỗ trợ thêm từ: 250603.0014379",Chào bạn Tâm!. Vấn đề của tôi đã được giải quyết tốt. Cảm ơn bạn Tâm và MOMO rất nhiều. Trân Trọng-Trần Hường.
250603.0002908,"Nội dung KH: 

 Ticket trước: 250531.0003798
 Nội dung re-open: Hoàn tiền để mua vé đi ạ",Chán k thèm ý kiến 
250603.0005376,Tài khoản momo của tôi đã xác thực hết rồi nhưng không thấy có mã ưu đãi nhiều như trước nhưng tài khoản của bạn tôi lại có rất nhiều mã,Tôi không biết tại sao tài khoản của tôi vẫn dùng bth nhưng lại ko đủ điều kiện trong khi trước đó tôi vẫn sử dụng bình thường như mọi lần
250603.0000174,"Nội dung KH: Không vui khi lấy tiền ngana hàng đi thanh toán nh ko thông báo 
 Hỗ trợ thêm từ: 250603.0000016",Ok duyệt 
250603.0016293,Khách hàng đã chuyển tiền mà bên tài khoản nhận chưa thấy có .,Giải quyết rất chậm.  
250603.0014702,Kiểm tra ma giao dịch này sao chưa vào tien,Ok 
250603.0001667,Mình có đặt 2 lệnh mua chứng khoán trên CVS với voucher hoàn tiền 0.1% nhưng vẫn chưa được hoàn tiền. Đề nghị trợ giúp. Xin cảm ơn.,Vẫn chưa được hoàn tiền.
250603.0007623,"Nội dung KH: Kiểm tra giúp mình xem ngân hàng đang liên kết sdt nào
 Hỗ trợ thêm từ: 250603.0006812","Chào momo, sdt 0347651934 mình không còn dùng từ lâu rồi, momo có thể giúp mình đổi sang số mới này không "
250603.0004642,Ví trả sau duyệt hồ sơ hơn gần 2 tuần vẫn chưa xong,Vay nhanh chưa vay được
250603.0003481,"1/6 e có ck từ vietcombank qua momo như hình nhưng tài khoản vietcombank đã trừ tiền mà momo vẫn ch nhận được, e có liên hệ bên CSKH hỗ trợ thì bảo sau 2 ngày sẽ được hoàn lại tiền, vậy hôm nay e sẽ được hoàn lại đúng không ạ
","vẫn chưa nhận được tiền e k biết bên mình giải quyết như thế nào
"
250603.0004927,Mình thanh toán thẻ tín dụng tp từ 5 ngày trước sao vẫn chưa cập nhật ,Hạn mức thẻ tp bank của tôi vẫn chưa được cập nhật
250603.0013992,"Nội dung KH: Vẫn chưa thấy hoàn tiền 

Tiền góp 1 tháng là 2tr7 hơn 

Nhưng đóng 2 lần 3tr1 
 Hỗ trợ thêm từ: 250602.0002383",Chưa rõ thông tin xử lý chưa
250603.0001196,Tối cài đặt thanh toán tiền điện hàng tháng là thử tín dụng sao tháng này chuyển sang ví trả sau vậy,Những phần cài đặt mặc định vui lòng gửi cảnh báo cho khách hàng tránh sự cố đang tiếc xảy ra tương tự 
250603.0007009,"Nội dung KH: Đã liên hệ với google và Duolingo, không có  khoản phí nào cần phải thanh toán, nhưng momo tự động trừ tiền ngân hàng để thanh toán khoản phí không phát sinh.
 Hỗ trợ thêm từ: 250602.0007317","Vấn đề trừ tiền của tôi vẫn chưa được giải quyết, tôi đã cung cấp tk của tôi không hề sử dụng dịch vụ nào và đã gửi kèm email  nhà cung cấp là Duolingo phản hồi tôi không hề sử dụng dịch vụ nào của nhà cung cấp."
250603.0005183,Tôi muốn tạo tài khoản ngay lập tức 🫶,"Toiii muốn có ngân hàng 
"
250603.0017494,"T cần người huỷ gói trả góp 12 tháng ví trả sau t vừa bấm nhầm
","Phản hồi chậm, là đối tác thì ko có quyền yêu càu à???? Hay gài người tiêu dùng ? Đề nghị xử lý ngay vấn đề này cho tao. T đã báo là bấm nhầm rồi, do vấn đề cài đặt quét face id để duyệt qá nhanh k xử lý kịp"
250603.0000439,"Tại sao trừ tiền tài khoản của tôi khi chưa đc sự đồng ý hãy giải thích và trả lại tiền cho tôi 

",Tôi vẫn chưa nhận đc lại tiền mik mất nên k hài lòng về cách giải quyết của các Bn chút nào 
250603.0019717,Tôi không thanh toán ứng dụng này,"Momo rất tuyệt vời , CSKH trả lời nhanh và tận tình"
250603.0001431,"Nội dung KH: ko thấy gởi mail hay gì hết
 Hỗ trợ thêm từ: 250602.0005609","Ko giải quyết đc vấn đề chính, cho bộ phận chăm sóc khách hàng vào nói chung chung, yêu cầu khách hàng ko giải quyết, ko gởi mail mặc dù đã yêy cầu nhiều lần. Nói chung là quá tệ giờ ko biết 200.000 ko nộp đc mất đi đâu"
250603.0018401,Tôi đã thanh toán bằng tiền mặt khi thanh toán không hoàn thành.,Xử lý vô cùng chậm (chưa hài lòng về điều đó). Nhưng cũng đã giải quyết thoải đáng nên tôi không ý kiến gì thêm.
250603.0005497,Ấn nhầm. Khi thanh toán app scamcanner ,"Giờ kêu không hủy
Là sao cho t xin tổng đài scamcanner đi"
250603.0009546,Tôi muốn lấy lại tiền ,Trẻ con ko biết chữ làm sao mà thanh toán kiểu j vậy chò chơi trên chplay  cũng phải nhập mật khẩu mới thanh toán đc mà đây ko cần vẫn thanh toán đc 
250603.0000447,"Đã chuyển thành công nhưng người nhận không nhận được tiền. Chuyển vào ngân hàng Vikkibank, nhưng momo chỉ hiện tên ngân hàng cũ là Đông Á Bank. Momo báo chuyển tiền thành công, đúng tên người nhận, nhưng tài khoản người nhận không được cộng tiền",Sau 48h bên phía người nhận vẫn chưa nhận được tiền ạ
250615.0009953,null 01MMTTT0067663868,"Số tài khoản: 8882869790 
Chủ tài khoản: NGUYEN VAN NU 
BIDV (Ngân hàng TMCP Đầu tư và Phát triển Việt Nam)"
250615.0001258,"Hãy xử lý nhanh giúp tôi
",Hãy xử lý nhanh giúp tôi
250615.0000578,"Tôi bị mất sim và sim đã liên kết với tài khoản ngân hàng của tôi 
Nên hiện tại tôi không thể liên kết ngân hàng trong ví momo với số điện thoại mới
","Tôi chưa được giải quyết vấn đề
Tôi muốn gọi trực tiếp với cskh để được hỗ trợ"
250615.0001366,"Tôi muốn xóa momo sdt 0334333313 vì đã mất số không còn dùng nữa và chỉ còn xài 2 tài khoản momo 0971983470,0344584413",Gửi hình ảnh đúng rồi có giải quyết đâu
250615.0007488,Khách chuyển tiền đến trong tài khoản momo ko nhận dc,Tốt
250615.0003884,"Nội dung KH: Tôi đã liên hệ ngân hàng. Họ nói ko có lỗi. Họ vẫn cấp mã OTP. Mà tôi nhập vào Momo báo lỗi
 Hỗ trợ thêm từ: 250613.0005466",Không liên kết được. 2 bên Momo và Vib đổ lỗi cho nhau
250615.0001178,"Không sử dụng được 4G
",Gói data tôi đăng ký dù đã kích hoạt rồi nhưng vẫn không thể xài được
250615.0005392,quá lâu k duyệt,"Làm việc quá chán, lãi tất toán cắt cổ"
250615.0006749,Đã tt xong vẫn bị làm phiền ảnh hưởng tới công việc,Đã thanh toán xong vẫn gọi điện thoại làm phiền ảnh hưởng tới công việc cá nhân 
250615.0000489,Chuyển nhầm tiền ,Mất tiền không nhận lại được thì hài lòng cái gì
250615.0010081,ví trả sau tạm khoá k dc,K dc
250615.0003361,E đăng ky chưa thấy momo duyệt ạ,chưa giải quyết mở khoản vay momo
250615.0010557,"Nội dung KH: cần hỗ chọ về vấn đề ko vay đuqoqcj

 Hỗ trợ thêm từ: 250615.0010307",bảo phê duyệt vài phút mà tôi đợi đến mấy tháng
250615.0001753,"Nội dung KH: Tôi vẫn chưa được hỗ trợ hoàn tiền từ việc này
 Hỗ trợ thêm từ: 250614.0010974",tệ
250615.0004379,"Nội dung KH: Vẫn chưa nhận được tiền. Ảnh 1 đã chuyển vào ngày 13. Ảnh 2 là thông báo bên người nhận chưa thấy tiền tới
 Hỗ trợ thêm từ: 250614.0004444",Tiền chuyển từ ngày 13 và nay 17 vẫn chưa nhận đc tiền
250611.0007757,"Chuyển khoản nhằm, muốn hoàn tiền mã đơn 90462266849",Thứ mình cần là hướng giải quyết và thời gian cụ thể. Chứ ko phải là mong anh thông cảm và tiếp tục đồng hành cùng momo khi nào ko hề giải quyết được bất kì vấn đề nào mà khách hàng đưa ra
250611.0009667,em chuyển khoản lộn số tài khoản làm sao để em liên hệ được với chủ thẻ stk kia ạ,tui chuyển qua ngân hàng thì làm sao mà nhắn tin được 
250611.0007143,Người nhận chưa nhận được tiền chuyển qua,Dạ Người nhận vẫn chưa nhận được tiền chuyển khoản ạ
250611.0005866,"Nội dung KH: Nguoi nhan van chua nhan dc tien
 Hỗ trợ thêm từ: 250608.0002197",Tuyet voi
250611.0007292,"Vui lòng hỗ trợ mở khóa cho tôi , tôi không thể chuyển khoản cho người khác điều này rất bất tiện",Hỗ Trợ Khách Hàng Rất Tốt Đảm Bảo An Toàn Cho Khách Hàng Uy Tín 5* Nên Dùng Momo
250611.0012868," Tôi có nạp tiền chạy quảng cáo fb qua momo nhưng hiện tại tiền đang bị hold
Lần 2: 80,000vnđ
Mã giao dịch: 90398175036

Làm sao để tôi lấy lại được tiền? Hay tiền có tự hoàn lại ví momo không?

Xin cảm ơn","Cảm ơn momo đã reply

Hiện tại mình cũng có gửi yêu cầu cho meta nhưng chưa đc hồi đáp
Cũng k biết có lấy lại dc k"
250611.0009518,"Giao dịch này để mua dịch vụ 30.000đ và đã thu tiền và tôi đã k nhận đcj dịch vụ ( ví Trả Sau trcs giao dịch : 22x.xxxđ và sau giao dịch này là : 19x.xxxđ , số liệu này đã đcj lưu tại máy chủ của Momo ) ,","Hãy hoàn Hai phí dịch vụ tại Vietnammobile tôi đã trả tiền thành công nhưng chưa nhận đcj dịch vụ và chính Hai sự k hoàn tiền kịp thời của Hai dịch vụ này đã xáo trộn kế hoạch tài ch trong kỳ May25 của tôi và các bằng chứng Hai vụ viêc này đã đcj lưu tại máy chủ của quý ngài đồng thời tôi y/c đcj nhận sao kê liên quan đến Hai dịch vụ trên đã đcj thực hiện cùng ngày và cách nhau Bốn phút ! Rgds ,"
250611.0008422,"thông tin quảng bá video bên tik tok lỗi ko hoạt động 
",rất hài lòng về việc hỗ trợ lần này
250611.0003644,Hom qua 10/6 Tôi đã giao dịch chuyển tiền nhưng thất bại nay được thông báo nhưng chưa thấy tiền hoàn lại vào tài khoản ,Rất mong phía tổng đài cskh Momo sớm giải quyết các vấn đề của tôi và các vấn đề khác.Người sử dụng ứng dụng Momo để người dùng đạt được sự tin cậy và thuận lợi hơn.
250611.0007559,giao dịch này hoàn tiền vào đâu,ủa rồi hoang tiền vào đâu?
250611.0002954,Ví trả sau không đúng số tiền nạp vào,"Không bao giờ đóng trễ và dù trễ thì momo đã tính phí đong vô lun rồi. Nếu ví chỉ cho 1. 500.000đ thì lúc 2tr đưa vào thù hoàn lại 500.000đ đi ạ cám ơn
"
250611.0004799,"Huỷ tài khoản mất sim 0942592959
0896877966",Chưa giải quyết xong
250611.0004741,Nạp mà để thẻ sai mã,Giải quyết dùm vấn đề thẻ
250611.0001903,"Nội dung KH: Ad hỗ trợ e lại thẻ Vinaphone 300k chứ thẻ đấy mới mua nạp ko đc giờ báo sđt sdung roi

 Hỗ trợ thêm từ: 250607.0011212",Bán thẻ sdung rồi trong khi khách hàng chưa dùng
250611.0001839,Dạ 0372277145 đã nhập mã mời bạn mới cho 0385977876 nhưng 0385977876 chưa nhận được mã còn 0372277145 đã nhận mã rồi ạ ,Dạ đã qua 48 tiếng nhưng 0385977876 vẫn chưa được quà ạ mới được 30k thôi ạ 
250611.0012151,"Tôi mua 2 gói dịch vụ data nhưng hệ thống không sử dụng được.
Sau đó tôi đã bị trừ cước. Tôi có nộp thêm gói 20 ngày. Nhưng hiện tại Mobiphone cho biết hiện chỉ có một gói cước 20 ngày có hiệu lực.
Tôi cần Momo giải đáp tại sao tôi không sử dụng được gói 15k (3ngày)dẫn đến việc tôi bị trừ cước   và đáng nói nữa là gói 3 ngày đó hiện mất tích…!

",Thông tin bạn phản hồi thì tôi thấy bạn đề cập là tôi đăng ký thành công hai gói. Nhưng giữa thời gian đó tôi vẫn bị trừ tiền. Và tôi đã liên hệ Mobiphone vào ngày 11/6 xác nhận hệ thống có ghi nhận lịch sử đăng ký hai gói cước nhưng không rõ tại sao gói cước 3 ngày không hiệu lực. 
250611.0001929,"Nội dung KH: Vậy thời gian nào quay lại là mới được kết nối nhỉ. 
 Hỗ trợ thêm từ: 250611.0001368",Vẫn chưa giải quyết được vấn đề. 
250611.0008583,"Tôi không nhấn tham gia chương trình này được
",Vấn đề chưa được giải quyết
250611.0010797,"Nội dung KH: Màn hình vẫn vậy, không thay đổi
 Hỗ trợ thêm từ: 250611.0008583",Không xử lý được vấn đề đã yêu cầu
250611.0009363,Tại sao lại tự động trừ tiền như vậy,Trong vòng 7 ngày làm việc sẽ hoàn tiền hay s ạ
250611.0003579,Mình bị trừ gần 400k mong momo giúp mình lấy lại vì mình k ấn gì cả,Mình chưa được hoàn lại số tiền bị trừ bạn ạ :(
250611.0002499,Tôi đóng thừa số tiền phải thanh toán,Tôi không có câu trả lời thoả đáng 
250611.0011074,bình thường có mục nhập số tiền thanh toán. bay giờ không còn,Bạn có đọc nội dung tôi nhắn và hình ảnh không vậy? Trả lời không liên quan gì hết luôn
250611.0000183,"Hổ trợ mình hoàn tiền với mình k sử dụng app picsart nó tự động đăng ký mong ad hổ trợ giúp mình
Mã giao dịch : 90296271385",Cám ơn momo
250611.0008079,"Người nhận không dùng momo, thì số tiền này mình chuyển nhầm này sẽ được hoàn lại sau 3 ngày nhưng đến giờ mình vẫn chưa nhận được tiền hoàn lại. Nhờ momo hỗ trợ xem khi nào nhận được. ??
Mà 3 ngày là 3 ngày làm việc hay là 3 ngày tính từ thời điểm chuyển. ","Chưa giải quyết được vấn đề gì cả. Bên nhận chưa liên kết ngân hàng. Thậm chí còn chưa từng tải momo, nhưng quá 3 ngày sau khi chuyển tiền vẫn chưa được hoàn về người chuyển. "
250611.0008887,Ví Momo và ví trả sau đều thanh toán khoản phí này. Các đơn hàng này đã thanh toán bằng ví momo từ nguồn tiền ngân hàng nhưng ví trả sau vẫn thể hiện yêu cầu thanh toán trên sao kê của ví trả sau. Nhờ kiểm tra và hỗ trợ gấp. ,Nói vòng vo không hiểu ý khách hàng mà đã trả lời 
250611.0002962,"Nội dung KH: Số dư chưa được cập nhật. Cũng chưa thấy thông báo nhận tiền về tài khoản

 Hỗ trợ thêm từ: 250609.0003728",Vẫn chưa được giải quyết vấn đề. Bên ngân hàng thông báo vẫn chưa có nhận được tiền trong giao dịch. Hơn 1 tuần rồi mà vấn đề vẫn chưa giải quyết xong :))
250611.0005133,bên người nhận vẫn chưa nhận được tiền gửi,làm việc quá chậm
250611.0001568,"Mong ad xem cập nhật giúp bước chân ngày 10.06.25
Qua tối tôi quên mở cập nhật 
Có gì ad giúp tôi giữ chuỗi nhé cảm ơn ad đã giúp"," Cảm ơn ad
"
250609.0002911,"Tôi đã đặt vé máy bay trên momo cho 8 người nhưng ai cũng được. Chỉ có mỗi cô Vân này thì không có hành lý ký gửi, tiền thì mọi ngừoi giống nhau. Chiều nay tôi bay, nhưng liên lạc với momo rất khó khăn!!!!! ",Cảm ơn các bạn bên bộ phận chăm sóc khách hàng nhiều nhé
250609.0000178,Tôi chưa nhận được tiền hoàn vé máy bay,Tôi đã nhạn ở thẻ tín dụng
250609.0001307,chuyen tien thanh cong chua nhan dc ,"chuyen tien thanh cong mà kk nhan dc

"
250609.0012891,"Nội dung KH: vẫn chưa nhận được tiền
 Hỗ trợ thêm từ: 250608.0004027",chưa giải quyết tiền chưa vào ngân hàng hưởng thụ 
250609.0005711,"Nội dung KH: Tôi vẫn chưa nhận đuợc tiền vậy là momo hoặc Zalo pay đã ăn mất tiền của tôi hả ? Tôi đã đợi khá lâu mà tiền vẫn chưa được hoàn về xin momo hãy làm việc với Zalo pay hoặc kiểm tra thật kĩ 406 tôi chuyển qua zalo pay đến giờ vẫn chưa nhận được 
 Hỗ trợ thêm từ: 250604.0004091",Đã giải quyết nma hơi lâu
250609.0001067,Đã chuyển thành công nhưng chưa nhận dươc ạ,"Đã nhận dk . Rất hài hòng
"
250609.0004971,"Cần hoan tiền chuyển khoản nhưng không rơi nước
","Chưa thấy hoàn tiền
"
250609.0011764,"Vui long giai quyet cho toi van de nay , toi da tra tien chi vi tra sau roi , bang tai jhoan ngan hang vietcombank , va ngan hang da bao giao dich hoan thanh, tai sao vi tra sau van bao chua tra","Toi van chua ro la so tien cua toi da tra cho vi tra sau chua, "
250609.0005101,Không nhận được sản phẩm mặc dù tiền đã bị trừ,"Momo coi thường người dùng, 3 giao dịch bị trừ tiền mặc dù không thành công. Momo không giải quyết cho khách hàng. "
250609.0001014,Dạ momo tự liên kết ngân hàng thanh toán cho một app mà không có sự đồng ý của em ạ,"Chưa có sự xác nhận của tôi momo đã tự ý thanh toán thành công, tôi không chấp nhận tôi muốn hoàn tiền tôi còn là sinh viên đối với tôi số tiền đó rất lớn"
250609.0009913,"Nội dung KH: 89537415874 v còn mã giao dịch này sao ạ
 Hỗ trợ thêm từ: 250603.0008494",1 mã giao dịch chưa được giải quyết
250609.0008541,Tại sao đến bây giờ toi vẫn không được hoàn giao dịch dù nó xảy ra 3/6 thật khó chịu . Tôi đã chờ quá lâu ,Xử lý hơi lâu 
250609.0003533,Giao dịch treo từ ngày 3/6 vẫn ko giải quyết,"Phải chờ đợi và thúc giục quá lâu mới giải quyết
"
250609.0004399,"Đã 2 ngày nhưng vẫn chưa hoàn tiền
",Hơi lâu mà hoàn về là ok rồi
250609.0005152,quay vòng trúng thưởng nhưng quay không được cứ báo lỗi mong momo giải quyết ạ,Không Hài lòng vì vẫn chưa được mặc dù đã theo hướng dẫn momo nhưng vẫn báo lỗi
250609.0011953,báo lỗi ngày cấp cccd trong khi cccd của tôi hợp lệ,"Anh Tùng nào em ơi? E check lại thông tin hộ a,  momo của a tên khác mà?"
250609.0008843,"tôi cần xoá tài khoản ví momo này
","sim đã mất r mới cần xoá tk, mà đòi gọi được mới xoá là sao"
250609.0010661,"Không được hiện mã ưu đãi, giảm giá cà phê, đồ ăn, thẻ nạp",K nói rõ ràng chi tiết
250609.0007919,"Tôi mua 1 card viettel 100 nghìn, nhưng k nạp được","Momo chưa giải quyết vấn đề của tôi, làm việc chậm chạp"
250609.0001937,"Vẫn chưa được ạ 
Xem hộ tôi vs ạ 
",Tôi muốn huỷ khoản vay ạ 
250609.0000462,không xác thực được CCCD,Rất hài lòng
250609.0012336,"Nội dung KH: Cảm ơn bạn, mình theo hướng xử lý 2, nhờ bạn hỗ trợ cho mình thẻ quà giá trị tương đương để thanh toán các dịch vụ trên Momo.
 Hỗ trợ thêm từ: 250605.0014489","Hài lòng với hỗ trợ tốt, mong những lần sau có thể cải thiện thêm về thời gian xử lý"
250609.0001679,giao dịch này tôi k thực hiện,"tôi nghĩ nên cho cho thêm tính năng coi được những tài khoản đã liên kết với momo, "
250609.0003832,đã disable thông tin tài khoản nhưng mở app lúc đầu tiên vẫn show số tiền trong tài khoản lên dù chưa login. lộ hết thông tin người dùng nếu bị mất thiết bị,đã nhấn vào con mắt để ẩn số dư nhưng lúc mở lên lần đầu vẫn thấy
250609.0009698,"Mình nhận được thông báo tiền về do bán chứng chỉ quỹ, nhưng mình ko thực hiện giao dịch này. Mình có mở phần chứng chỉ quỹ ra kiểm tra thì cũng ko thấy có lưu vết giao dịch nào. Nhờ momo tra soát giao dịch này. Chi tiết tại file ảnh.",Momo nên ghi rõ tên giao dịch này là lợi tức của CCQ xxx để khách hàng thuận tiện theo dõi. Thanks!
250609.0011789,"Nội dung KH: ko vay được à momo
 Hỗ trợ thêm từ: 250609.0011194",e vẫn ko đăng ký khoản vay được ạ
250609.0011554,"Mình bấm nhầm thanh toán ví trả sau thành chuyển đổi trả góp
","Bấm nhầm mà chưa có chính sách bảo vệ khách hàng, lỡ con nít nó vào bấm bậy vài cái là được. Đã vậy không yêu cầu khuôn mặt khi thực hiện giao dịch hay chuyển đổi hoá đơn"
250609.0013526,"Tôi không chấp nhận với thanh toán tự động này, khi chưa được sự đồng ý của tôi
","Tôi đã được hoàn tiền từ Apple, tôi xin cám ơn!"
250609.0000532,"Yêu cầu hoàn tiền,đăng nhập apple services yêu cầu hoàn tiền thì chưa có thanh toán khoản gì .tôi muốn hoàn lại tiền",Mình dùng 1 tài khoản không dùng tài khoản nào khác mà trừ tiền lại không hoàn tiền lại và cũng không có khoản nào trừ tiền 
250609.0013758,"tôi vẫn chưa biết tại sao tôi bị trừ tiền tài khoản,mong ad xem xét giúp tôi
",Tôi Bị Mất Tiền Oan Và Chưa Được Giải Quyết!
250609.0003394,Ví momo của em bị trừ tiền nhưng không có giao dịch trong khi em không rút ,Dv tốt 
250609.0001593,"Nội dung KH: Chưa nhận được tiền
 Hỗ trợ thêm từ: 250606.0002842",Tôi chưa nhận được tiền
250610.0011427,Mình chuyển khoản nhầm tài khoản người nhận ,Người nhận không hợp tác chuyển tiên lại cho tôi
250610.0002036,Chuyển tiền bên kia ko nhận được. 2 mã giao dịch thấy đã khác nhạu rồi ạ,Bên kia Vẫn bảo ko nhận được 
250610.0006259,"Nội dung KH: Chưa được giải quyết dịch vụ chuyển khoản nhầm vào số tài khoản 74912111996 PHAM QUAN HIEU MBBANK. 1,8TR   chưa được người này trả lại 
 Hỗ trợ thêm từ: 250605.0001731",Tiền chuyển khoản thanh toán nhầm tôi chưa được thong tin gì về có trả lại hay không??
